Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,"Cone_Type(L=1;M=2;S=3; Undertermined=4, can ignore)"
81,191,32.10024573,11.42243637,9.25951501,59.68651242,11.77910179,9.131486888,1
81,240,33.59289982,8.728138532,8.821608884,60.9619806,15.85315937,10.45515705,1
81,269,32.64036315,10.34895887,9.610170856,58.06478393,14.19957596,11.63692026,1
82,15,31.76003348,7.836808033,7.140481463,54.39162583,8.910856455,12.37989618,1
82,77,31.65145517,11.80951322,16.84541871,56.64438421,11.101222,15.71175657,1
82,211,33.14744338,8.458969488,9.153139496,61.18753986,13.88463871,11.10297204,1
82,280,32.81393111,11.27520114,16.02716707,58.27119711,9.629069569,8.958411275,1
83,21,32.17385634,8.683006505,17.56162324,64.44326989,9.920884065,11.25842384,1
83,66,31.13636579,6.96453221,9.574944613,59.58467859,8.615866566,8.90333234,1
84,7,30.40304729,9.285064222,9.418246165,57.26607449,9.571309639,9.627137006,1
84,179,33.31885963,9.169050384,10.20040273,59.79848065,8.809875292,8.138496528,1
84,289,32.65101634,8.167884749,10.56961366,57.14845248,8.53563523,8.244450345,1
85,31,32.19027999,15.55854071,13.90778626,69.51589837,8.802670145,8.279999656,1
85,102,31.6050911,5.79909521,7.68454694,59.39454684,7.813944981,7.470684311,1
85,229,33.13425699,9.2805484,9.25692444,58.44536535,7.802420425,8.328720301,1
85,259,31.26515852,9.474884973,14.03038703,57.27651101,8.803212152,9.533936272,1
86,58,31.62285576,7.631816922,7.720698531,60.39718719,8.307396665,7.870534896,1
86,110,30.84959716,11.3049108,13.96367046,59.05655179,10.04197534,14.08922763,1
86,219,31.23288674,7.497764391,8.489174134,56.59875417,14.65484386,14.03865076,1
87,41,31.26820997,8.372559702,13.73299486,58.78216479,7.048277876,9.649861694,1
87,50,32.46302352,7.605316221,9.949744084,61.23824729,10.39150945,9.516175771,1
87,169,36.8116327,8.008333739,7.702263575,65.99827877,7.954573335,7.376283597,3
87,268,33.18537682,11.19438451,15.25401164,61.37605432,10.30075851,9.324933674,1
88,162,32.63735316,8.36115761,11.55383201,58.25158746,12.0548513,9.689023049,1
88,200,33.06229306,8.213102535,13.01827998,59.112778,7.023188103,9.468236044,1
88,243,33.38988088,19.41032874,17.66145543,53.46657944,7.745805829,9.137395743,3
89,4,30.59000802,6.495019116,9.80595989,58.05673362,8.256764773,9.718315796,1
89,127,32.31273785,8.833325037,14.44416952,59.98256977,9.90623741,12.50512915,1
89,152,NaN,NaN,NaN,NaN,NaN,NaN,1
89,278,36.40916811,7.74705855,7.695656007,60.35609753,8.91702021,8.70948032,3
90,90,32.80764494,6.443951643,8.960049316,59.87762815,7.216205202,8.559450196,3
91,67,32.85355092,7.070638078,8.8922868,60.99116154,8.65488621,9.01938437,1
91,235,32.81937928,8.169730807,9.30806474,58.51244001,7.658925904,9.26481144,1
91,252,33.50043165,9.012616241,8.554929555,58.370863,11.98868068,9.261026288,1
92,74,30.4896724,7.04236951,8.72269317,60.68960941,12.6797067,10.79115901,1
92,107,32.23120894,7.802468065,9.76371047,59.56778936,11.65229804,12.9475071,1
92,119,33.75101936,11.59024669,9.884008917,61.40244397,10.94733944,8.513939006,1
92,261,32.2986827,8.154098368,10.7574919,57.4760794,8.925256651,9.251873726,1
92,288,32.82141763,8.131833551,8.336700334,58.59617084,12.38394835,9.861194493,1
93,40,32.28168051,8.082134112,9.482276183,60.82418757,15.4937385,9.640543143,1
93,52,30.84674352,7.059609028,13.13524482,58.0082771,8.76133675,9.279693405,1
93,215,32.1403676,7.654531645,8.143099637,62.26113906,7.962674545,8.460250611,1
94,23,30.4995123,8.387301709,16.49734397,58.02967082,8.652042252,9.394136358,1
94,160,32.9268505,8.291240315,10.83455782,57.65591445,7.698890457,10.29315122,1
94,181,32.8797841,8.038711373,6.802990868,60.98246164,16.82432994,15.08965712,1
94,191,30.2341034,8.138728984,10.70655707,56.41257338,10.25597278,11.38454423,1
